 1.02400000e+03 2.95530047e-03 1.57015664e-05
 2.04800000e+03 6.20395797e-03 1.14100320e-05
 4.09600000e+03 1.16994040e-02 1.47138323e-05
 8.19200000e+03 2.44791848e-02 1.87328884e-05
 1.63840000e+04 6.05765751e-02 1.52826990e-02
 3.27680000e+04 1.02024828e-01 3.17515646e-03
 6.55360000e+04 1.64760453e-01 9.55298969e-03
 1.31072000e+05 2.92120934e-01 1.28628186e-02
 2.62144000e+05 5.43431316e-01 2.86822660e-02
 5.24288000e+05 9.49402673e-01 3.13998972e-02
 1.04857600e+06 2.10556156e+00 3.05210182e-02
